,State,Average,Median,state_alpha
0,Alabama,44930,52138,AL
1,Alaska,59290,67010,AK
2,Arizona,50930,58462,AZ
3,Arkansas,42690,48882,AR
4,California,61290,65895,CA
5,Colorado,57690,70952,CO
6,Connecticut,62350,72497,CT
7,Delaware,54370,65072,DE
8,District of Columbia,89800,74266,DC
9,Florida,47750,55681,FL
10,Georgia,49620,55600,GA
11,Hawaii,54930,54942,HI
12,Idaho,44890,61456,ID
13,Illinois,55130,54785,IL
14,Indiana,46770,54155,IN
15,Iowa,47330,55069,IA
16,Kansas,46520,51978,KS
17,Kentucky,44020,49719,KY
18,Louisiana,44170,57955,LA
19,Maine,48470,75214,ME
20,Maryland,60230,75077,MD
21,Massachusetts,65680,56343,MA
22,Michigan,50780,65514,MI
23,Minnesota,55890,47446,MN
24,Mississippi,40090,53547,MS
25,Missouri,47820,57448,MO
26,Montana,45370,53892,MT
27,Nebraska,48250,56949,NE
28,Nevada,47210,75432,NV
29,New Hampshire,53950,75321,NH
30,New Jersey,59980,49757,NJ
31,New Mexico,47040,63548,NM
32,New York,63970,53687,NY
33,North Carolina,48550,58318,NC
34,North Dakota,50430,54877,ND
35,Ohio,49430,51435,OH
36,Oklahoma,45620,64975,OK
37,Oregon,53890,60640,OR
38,Pennsylvania,51340,67541,PA
39,Rhode Island,57220,54821,RI
40,South Carolina,44380,53188,SC
41,South Dakota,42920,55441,SD
42,Tennessee,45650,70425,TN
43,Texas,50490,58728,TX
44,Utah,49420,67918,UT
45,Vermont,51120,74398,VT
46,Virginia,56740,57934,VA
47,Washington,62020,60510,WA
48,West Virginia,43420,53244,WV
49,Wisconsin,48850,57934,WI
50,Wyoming,49760,60510,WY
51,Puerto Rico,34931,21967,PR
52,District of Columbia,138421,93547,DC
